name,location,price,taxes,stars,ratings,condition,feature1,feature2,feature3
Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore",₹892,+ ₹157 taxes & fees,4.5,(2303 Ratings),Excellent,AC,TV,Queen Sized Bed
SPOT ON Yatra Inn Near Lalbagh Botanical Garden,"Lalbagh, Bangalore",₹693,+ ₹133 taxes & fees,5.0,(2603 Ratings),Fabulous,Reception,Free Wifi,Power backup
OYO Flagship Sai Palace Nearby PES University Hosakerehalli,"Vivekananda Nagar, Bangalore",₹410,+ ₹89 taxes & fees,4.1,(250 Ratings),Very Good,Elevator,Free Wifi,Geyser
Super OYO Townhouse 490 Indiranagar Extn,"Bangalore, Bangalore",₹902,+ ₹109 taxes & fees,4.2,(1808 Ratings),Very Good,Reception,Free Wifi,Caretaker
Super OYO Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",₹1090,+ ₹171 taxes & fees,4.9,(2648 Ratings),Fabulous,Free Wifi,Daily housekeeping,AC
SPOT ON Gayatri Comforts,"Near Yelahanka, Bangalore",₹580,+ ₹120 taxes & fees,4.5,(406 Ratings),Excellent,Parking facility,Reception,Free Wifi
OYO Townhouse 361 Sarvar Hospitality Near Ascendas Park Square Mall,"Near kadugudi post office , Brindavan Layout, Bangalore",₹812,+ ₹137 taxes & fees,4.3,(1244 Ratings),Very Good,Free Wifi,Power backup,CCTV cameras
Super OYO Collection O Compact Green View Near Nexus Mall Koramangala,"Near Ejipura Bus stand, Ashwini Layout, Bangalore",₹998,+ ₹160 taxes & fees,4.9,(1244 Ratings),Fabulous,Parking facility,Free Wifi,Power backup
Flagship M & M Hospitality,"Bangalore Rural District, Bangalore",₹499,+ ₹100 taxes & fees,3.9,(179 Ratings),Good,Free Wifi,Geyser,Power backup
Capital O Safari Rooms Near Snow City,"India Bangalore Karnatakaindia, Bangalore",₹544,+ ₹105 taxes & fees,3.8,(47 Ratings),Good,Doctor on call,Parking facility,Reception
Townhouse OAK SRK White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Koramangala, Bangalore",₹942,+ ₹183 taxes & fees,4.0,(1477 Ratings),Very Good,Free Wifi,Power backup,Security
Flagship Sunshine Inn,"Rachenahalli Main Road Beside Manyata Tech Park Gate 5, Bangalore",₹419,+ ₹80 taxes & fees,3.9,(461 Ratings),Good,Parking facility,Elevator,Free Wifi
Super OYO Capital O Manyata Royal Mac,"Behind Manyata Tech Park, Rechanahalli, Bangalore",₹761,+ ₹151 taxes & fees,4.3,(596 Ratings),Very Good,Hair Dryer,Parking facility,Free Wifi
OYO Flagship HOTEL SKYSPACE Near Hare Krishna Hill,"Yeswantpur Near Railway Station, Bangalore",₹479,+ ₹97 taxes & fees,4.0,(816 Ratings),Very Good,Elevator,Parking facility,Free Wifi
Townhouse 385 Navya International Ramamurthy Nagar Near BBMP Office,"Near Rammamurthynagar Police Station, Bangalore",₹1021,+ ₹162 taxes & fees,4.1,(2231 Ratings),Very Good,Electric Kettle,Free Wifi,AC
OYO Flagship 10435 Star Deluxe Lodge,"Near Dharmaraja Kovil Street, Banglore",₹646,+ ₹108 taxes & fees,3.6,(44 Ratings),Good,Geyser,Power backup,CCTV cameras
OYO 49996 JJ Comforts,"Near Rajerajeswari Temple, RR Nagar, Bengaluru",₹659,+ ₹119 taxes & fees,4.0,(443 Ratings),Very Good,Reception,Free Wifi,Power backup
OYO Townhouse 1178 Royal Encore,"Behind Manyata Tech Park Gate No.5, Rachenahalli main road Bangalore",₹806,+ ₹157 taxes & fees,4.5,(1150 Ratings),Excellent,AC,AC,TV
